編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"1150","110/03/16","8085","福華","110/03/17~110/03/30","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月17日起10個營業日(110年03月17日至110年03月30日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。暫停融資券交易，但信用交易了結或違約專戶委託買賣該有價證券時，不在此限。","14.55","N/A"
"1151","110/03/12","8099","大世科","110/03/15~110/03/26","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月15日起10個營業日(110年03月15日至110年03月26日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","42.65","26.33"
"1152","110/03/11","3362","先進光","110/03/12~110/03/25","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月12日起10個營業日(110年03月12日至110年03月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","61.40","N/A"
"1153","110/03/10","4529","淳紳","110/03/11~110/03/24","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月11日起10個營業日(110年03月11日至110年03月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。暫停融資券交易，但信用交易了結或違約專戶委託買賣該有價證券時，不在此限。","8.00","N/A"
"1154","110/03/08","3066","李洲","110/03/09~110/03/22","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月09日起10個營業日(110年03月09日至110年03月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","13.80","98.57"
"1155","110/03/05","5468","凱鈺","110/03/08~110/03/19","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月08日起10個營業日(110年03月08日至110年03月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","28.15","N/A"
"1156","110/03/04","3552","同致","110/03/05~110/03/18","連續5個營業日","最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自110年03月05日起10個營業日(110年03月05日至110年03月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","304.50","141.63"
"1157","110/03/03","3219","倚強股份","110/03/04~110/03/17","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月04日起10個營業日(110年03月04日至110年03月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每25分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","136.00","178.95"
"1158","110/03/03","8077","洛碁","110/03/04~110/03/17","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月04日起10個營業日(110年03月04日至110年03月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","12.60","N/A"
"1159","110/03/02","3073","天方能源","110/03/03~110/03/16","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月03日起10個營業日(110年03月03日至110年03月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每25分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","30.85","N/A"
"1160","110/03/02","4944","兆遠","110/03/03~110/03/16","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月03日起10個營業日(110年03月03日至110年03月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每10分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","43.80","N/A"
"1161","110/02/26","2734","易飛網","110/03/02~110/03/15","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月02日起10個營業日(110年03月02日至110年03月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。暫停融資券交易，但信用交易了結或違約專戶委託買賣該有價證券時，不在此限。","20.15","N/A"
"1162","110/02/26","2743","山富","110/03/02~110/03/15","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月02日起10個營業日(110年03月02日至110年03月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","24.20","N/A"
"1163","110/02/26","6651","全宇昕","110/03/02~110/03/15","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月02日起10個營業日(110年03月02日至110年03月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","149.50","41.18"
"1164","110/02/26","6716","應廣","110/03/02~110/03/15","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年03月02日起10個營業日(110年03月02日至110年03月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","116.50","21.53"
"1165","110/02/25","3122","笙泉","110/02/26~110/03/12","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","23.60","N/A"
"1166","110/02/25","4162","智擎","110/02/26~110/03/12","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","72.80","242.67"
"1167","110/02/25","4743","合一","110/02/26~110/03/12","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","270.00","627.91"
"1168","110/02/25","6134","萬旭","110/02/26~110/03/12","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","26.00","113.04"
"1169","110/02/25","6150","撼訊","110/02/26~110/03/12","連續5個營業日","因連續5個營業日經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","121.00","N/A"
"1170","110/02/25","6589","台康生技","110/02/26~110/03/12","因連續3個營業日達本中心作業要點第四條第一項第一款","台康生技股份有限公司股票（代號：6589）最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對台康生技股份有限公司股票（代號：6589）及台康生技股份有限公司國內第一次有擔保轉換公司債(代號：65891)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","66.70","N/A"
"1171","110/02/25","65891","台康生技一","110/02/26~110/03/12","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","台康生技股份有限公司股票（代號：6589）最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月26日起10個營業日(110年02月26日至110年03月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對台康生技股份有限公司股票（代號：6589）及台康生技股份有限公司國內第一次有擔保轉換公司債(代號：65891)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","127.00","N/A"
"1172","110/02/24","3073","天方能源","110/02/25~110/03/11","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月25日起10個營業日(110年02月25日至110年03月11日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每10分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","28.25","N/A"
"1173","110/02/24","3078","僑威","110/02/25~110/03/11","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月25日起10個營業日(110年02月25日至110年03月11日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","62.00","17.13"
"1174","110/02/24","3228","金麗科","110/02/25~110/03/11","連續5個營業日","最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自110年02月25日起10個營業日(110年02月25日至110年03月11日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","333.50","16,675.00"
"1175","110/02/24","7556","意德士","110/02/25~110/03/11","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月25日起10個營業日(110年02月25日至110年03月11日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","183.00","49.86"
"1176","110/02/23","6482","弘煜科","110/02/24~110/03/10","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月24日起10個營業日(110年02月24日至110年03月10日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","58.70","N/A"
"1177","110/02/23","6485","點序","110/02/24~110/03/10","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月24日起10個營業日(110年02月24日至110年03月10日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","81.20","140.00"
"1178","110/02/23","6547","高端疫苗","110/02/24~110/03/10","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月24日起10個營業日(110年02月24日至110年03月10日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","194.50","N/A"
"1179","110/02/23","6642","富致","110/02/24~110/03/10","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月24日起10個營業日(110年02月24日至110年03月10日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","68.60","26.69"
"1180","110/02/23","6716","應廣","110/02/24~110/03/10","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月24日起10個營業日(110年02月24日至110年03月10日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","100.00","19.34"
"1181","110/02/23","8054","安國","110/02/24~110/03/10","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月24日起10個營業日(110年02月24日至110年03月10日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","37.35","N/A"
"1182","110/02/22","3483","力致","110/02/23~110/03/09","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月23日起10個營業日(110年02月23日至110年03月09日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","113.00","25.22"
"1183","110/02/22","6589","台康生技","110/02/23~110/03/09","因連續3個營業日達本中心作業要點第四條第一項第一款","台康生技股份有限公司股票（代號：6589）因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月23日起10個營業日(110年02月23日至110年03月09日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對台康生技股份有限公司股票（代號：6589）及台康生技股份有限公司國內第一次有擔保轉換公司債(代號：65891)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","65.50","N/A"
"1184","110/02/22","65891","台康生技一","110/02/23~110/03/09","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","台康生技股份有限公司股票（代號：6589）因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月23日起10個營業日(110年02月23日至110年03月09日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對台康生技股份有限公司股票（代號：6589）及台康生技股份有限公司國內第一次有擔保轉換公司債(代號：65891)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","131.50","N/A"
"1185","110/02/19","3169","亞信","110/02/22~110/03/08","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月22日起10個營業日(110年02月22日至110年03月08日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","98.10","35.93"
"1186","110/02/18","3086","華義","110/02/19~110/03/05","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月19日起10個營業日(110年02月19日至110年03月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","180.00","N/A"
"1187","110/02/18","6482","弘煜科","110/02/19~110/03/05","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月19日起10個營業日(110年02月19日至110年03月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","44.20","N/A"
"1188","110/02/18","6485","點序","110/02/19~110/03/05","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月19日起10個營業日(110年02月19日至110年03月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","74.20","127.93"
"1189","110/02/18","6547","高端疫苗","110/02/19~110/03/05","因連續3個營業日達本中心作業要點第四條第一項第一款","因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月19日起10個營業日(110年02月19日至110年03月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","179.00","N/A"
"1190","110/02/18","8087","華鎂鑫","110/02/19~110/03/05","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月19日起10個營業日(110年02月19日至110年03月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","21.45","N/A"
"1191","110/02/04","3086","華義","110/02/05~110/03/02","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月05日起10個營業日(110年02月05日至110年03月02日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","167.50","N/A"
"1192","110/02/04","3219","倚強股份","110/02/05~110/03/02","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月05日起10個營業日(110年02月05日至110年03月02日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每25分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","77.00","101.32"
"1193","110/02/01","3086","華義","110/02/02~110/02/24","因連續3個營業日達本中心作業要點第四條第一項第一款","最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自110年02月02日起10個營業日(110年02月02日至110年02月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","128.00","N/A"
